Table QS405EW,,,,,,,,,,,,,,,,,
"2011 Census: Tenure - Households, local authorities in England and Wales",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All households,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
,,,,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households
,,,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,
E10000019,,Lincolnshire,,"306,971","210,389","110,454","99,935","2,280","41,768","25,038","16,730","47,730","42,277","1,620","2,941",892,"4,804"
E07000136,,,Boston,"27,291","17,430","9,243","8,187",230,"4,965","1,671","3,294","4,291","3,908",85,220,78,375
E07000137,,,East Lindsey,"60,890","42,137","25,826","16,311",482,"6,705","1,605","5,100","10,554","9,334",377,657,186,"1,012"
E07000138,,,Lincoln,"39,825","21,932","9,717","12,215",220,"8,729","7,381","1,348","8,345","7,709",48,524,64,599
E07000139,,,North Kesteven,"45,972","34,187","17,115","17,072",221,"4,694","3,693","1,001","6,184","4,906",602,400,276,686
E07000140,,,South Holland,"37,264","27,035","14,623","12,412",260,"4,728","3,828",900,"4,714","4,173",159,308,74,527
E07000141,,,South Kesteven,"57,344","39,809","19,258","20,551",502,"7,701","5,949","1,752","8,389","7,653",133,496,107,943
E07000142,,,West Lindsey,"38,385","27,859","14,672","13,187",365,"4,246",911,"3,335","5,253","4,594",216,336,107,662
,,,,,,,,,,,,,,,,,
E10000021,,Northamptonshire,,"287,730","195,149","83,859","111,290","2,688","43,908","23,996","19,912","42,207","38,679",422,"2,672",434,"3,778"
E07000150,,,Corby,"25,215","15,669","5,917","9,752",94,"5,278","4,463",815,"3,839","3,582",17,210,30,335
E07000151,,,Daventry,"31,647","22,688","10,533","12,155",271,"4,412","1,282","3,130","3,832","3,471",63,243,55,444
E07000152,,,East Northamptonshire,"35,662","25,837","11,419","14,418",175,"4,737",805,"3,932","4,471","4,032",96,304,39,442
E07000153,,,Kettering,"39,701","27,562","12,070","15,492",342,"5,187","3,506","1,681","6,048","5,533",53,418,44,562
E07000154,,,Northampton,"88,731","55,622","22,307","33,315","1,134","15,113","11,319","3,794","15,817","14,657",72,951,137,"1,045"
E07000155,,,South Northamptonshire,"34,717","26,485","12,029","14,456",357,"3,505",901,"2,604","3,840","3,439",84,246,71,530
E07000156,,,Wellingborough,"32,057","21,286","9,584","11,702",315,"5,676","1,720","3,956","4,360","3,965",37,300,58,420
,,,,,,,,,,,,,,,,,
E10000024,,Nottinghamshire ,,"334,303","239,289","119,231","120,058","1,601","45,084","31,116","13,968","44,036","39,881",486,"3,108",561,"4,293"
E07000170,,,Ashfield,"50,931","35,261","16,952","18,309",235,"8,258","6,460","1,798","6,504","5,908",31,501,64,673
E07000171,,,Bassetlaw,"47,667","33,115","16,295","16,820",172,"7,579","6,152","1,427","5,975","5,362",111,411,91,826
E07000172,,,Broxtowe,"46,820","34,270","17,351","16,919",168,"5,218","4,192","1,026","6,594","5,902",143,435,114,570
E07000173,,,Gedling,"49,349","37,138","18,603","18,535",271,"4,926","1,961","2,965","6,488","5,850",46,517,75,526
E07000174,,,Mansfield,"44,928","29,908","14,658","15,250",169,"8,199","6,208","1,991","6,115","5,616",23,425,51,537
E07000175,,,Newark and Sherwood,"48,773","34,455","17,399","17,056",253,"7,050","5,087","1,963","6,278","5,648",87,462,81,737
E07000176,,,Rushcliffe,"45,835","35,142","17,973","17,169",333,"3,854","1,056","2,798","6,082","5,595",45,357,85,424
,,,,,,,,,,,,,,,,,
E12000005,WEST MIDLANDS,,,"2,294,909","1,489,094","740,899","748,195","15,230","435,170","249,835","185,335","321,670","293,988","3,952","18,648","5,082","33,745"
,,,,,,,,,,,,,,,,,
E06000019,,"Herefordshire, County of UA",,"78,319","53,014","30,867","22,147",770,"10,903","2,692","8,211","12,147","10,680",468,738,261,"1,485"
E06000051,,Shropshire UA,,"129,674","89,688","49,998","39,690",830,"17,448","6,458","10,990","19,421","17,013",777,"1,203",428,"2,287"
E06000021,,Stoke-on-Trent UA,,"107,575","63,928","30,628","33,300",419,"25,999","19,712","6,287","15,440","14,176",84,938,242,"1,789"
E06000020,,Telford and Wrekin UA,,"66,608","42,417","18,106","24,311",292,"13,106","5,409","7,697","9,979","9,055",164,602,158,814
,,,,,,,,,,,,,,,,,
E10000028,,Staffordshire ,,"355,263","256,884","128,676","128,208","1,789","52,151","20,213","31,938","40,090","35,797",610,"2,890",793,"4,349"
E07000192,,,Cannock Chase,"40,664","28,106","12,388","15,718",248,"6,880","5,291","1,589","4,938","4,509",37,351,41,492
E07000193,,,East Staffordshire,"47,251","32,879","16,574","16,305",260,"6,367","1,984","4,383","7,152","6,519",94,452,87,593
E07000194,,,Lichfield,"41,224","31,155","15,948","15,207",242,"5,446",648,"4,798","3,932","3,475",101,275,81,449
E07000195,,,Newcastle-under-Lyme,"52,574","36,332","18,495","17,837",226,"9,840","3,399","6,441","5,511","4,932",49,410,120,665
E07000196,,,South Staffordshire,"44,458","33,669","17,809","15,860",249,"6,193",646,"5,547","3,772","3,371",76,265,60,575
E07000197,,,Stafford,"55,703","39,880","20,259","19,621",279,"7,618","2,420","5,198","7,206","6,239",193,466,308,720
E07000198,,,Staffordshire Moorlands,"41,772","33,288","18,413","14,875",127,"3,699","1,343","2,356","4,103","3,595",46,399,63,555
E07000199,,,Tamworth,"31,617","21,575","8,790","12,785",158,"6,108","4,482","1,626","3,476","3,157",14,272,33,300
,,,,,,,,,,,,,,,,,
E10000031,,Warwickshire,,"231,005","161,804","79,796","82,008","1,920","31,924","18,263","13,661","32,608","29,628",585,"1,881",514,"2,749"
E07000218,,,North Warwickshire,"25,812","18,686","9,007","9,679",176,"3,719","2,687","1,032","2,913","2,635",34,198,46,318
E07000219,,,Nuneaton and Bedworth,"52,711","37,617","17,545","20,072",270,"7,633","5,785","1,848","6,683","6,041",52,522,68,508
E07000220,,,Rugby,"41,875","29,086","13,772","15,314",403,"5,993","3,860","2,133","5,903","5,281",174,311,137,490
E07000221,,,Stratford-on-Avon,"51,928","37,304","20,315","16,989",561,"6,713",594,"6,119","6,596","5,885",191,375,145,754
E07000222,,,Warwick,"58,679","39,111","19,157","19,954",510,"7,866","5,337","2,529","10,513","9,786",134,475,118,679
,,,,,,,,,,,,,,,,,
E11000005,,West Midlands (Met County),,"1,086,748","651,571","316,855","334,716","7,645","248,113","163,676","84,437","162,112","150,474",884,"8,404","2,350","17,307"
E08000025,,,Birmingham,"410,736","226,616","106,416","120,200","3,940","99,592","63,458","36,134","73,405","68,647",366,"3,398",994,"7,183"
E08000026,,,Coventry,"128,592","77,880","37,644","40,236",750,"21,914","6,988","14,926","26,503","24,461",118,"1,371",553,"1,545"
E08000027,,,Dudley ,"129,867","89,304","45,383","43,921",707,"25,719","21,874","3,845","12,004","10,938",105,818,143,"2,133"
