area_code,area_name,total_persons_health,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad,total_persons_econ,n_active_total,n_employee_part_time,n_employee_full_time,n_self_emp_with_employees_part_time,n_self_emp_with_employees_full_time,n_self_emp_without_employees_part_time,n_self_emp_without_employees_full_time,n_unemployed,n_full_time_student_active,n_inactive_total,n_retired,n_student_inactive,n_looking_after_home_family,n_long_term_sick_disabled,n_other_inactive,pct_active_total,pct_employee_part_time,pct_employee_full_time,pct_self_emp_with_employees_part_time,pct_self_emp_with_employees_full_time,pct_self_emp_without_employees_part_time,pct_self_emp_without_employees_full_time,pct_unemployed,pct_full_time_student_active,pct_inactive_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive,pct_unemployed_of_total
E06000012,North East Lincolnshire UA,159616,70242,55935,23779,7507,2153,44.0,35.0,14.9,4.7,1.3,9660,6.0,115823,79227,19086,42039,306,1581,1763,3834,7486,3132,36596,18018,4825,5635,5612,2506,68.4,16.5,36.3,0.3,1.4,1.5,3.3,6.5,2.7,31.6,15.6,4.2,4.9,4.8,2.2,6.46331039603533
E06000013,North Lincolnshire UA,167446,73234,59883,24667,7593,2069,43.7,35.8,14.7,4.5,1.2,9662,5.7,122329,84668,18768,48278,413,2031,2163,4262,5869,2884,37661,20296,4569,5433,5151,2212,69.2,15.3,39.5,0.3,1.7,1.8,3.5,4.8,2.4,30.8,16.6,3.7,4.4,4.2,1.8,4.79771763032478
E06000014,York UA,198051,98402,67709,23752,6369,1819,49.7,34.2,12.0,3.2,0.9,8188,4.1000000000000005,149789,104945,22487,57032,453,2391,3252,6232,4582,8516,44844,20688,14387,4107,3678,1984,70.1,15.0,38.1,0.3,1.6,2.2,4.2,3.1,5.7,29.9,13.8,9.6,2.7,2.5,1.3,3.0589696172616145
E07000163,Craven,55409,26383,19150,7387,1975,514,47.6,34.6,13.3,3.6,0.9,2489,4.5,40056,28744,6139,14540,219,1345,1358,3103,1003,1037,11312,7525,1300,1030,966,491,71.8,15.3,36.3,0.5,3.4,3.4,7.7,2.5,2.6,28.2,18.8,3.2,2.6,2.4,1.2,2.5039944078290395
E07000164,Hambleton,89140,43384,30682,11235,2972,867,48.7,34.4,12.6,3.3,1.0,3839,4.3,65255,47068,9843,25377,394,2173,1846,4326,1670,1439,18187,11809,1960,2043,1483,892,72.1,15.1,38.9,0.6,3.3,2.8,6.6,2.6,2.2,27.9,18.1,3.0,3.1,2.3,1.4,2.5591908666002605
E07000165,Harrogate,157869,79934,53313,18633,4698,1291,50.6,33.8,11.8,3.0,0.8,5989,3.8,114038,84662,16998,46509,638,3489,3757,7320,2931,3020,29376,17693,3789,3823,2586,1485,74.2,14.9,40.8,0.6,3.1,3.3,6.4,2.6,2.6,25.8,15.5,3.3,3.4,2.3,1.3,2.57019589961241
E07000166,Richmondshire,51965,26678,17383,5988,1523,393,51.3,33.5,11.5,2.9,0.8,1916,3.7,38652,29017,5217,17121,186,1208,1043,2391,1116,735,9635,5761,937,1396,839,702,75.1,13.5,44.3,0.5,3.1,2.7,6.2,2.9,1.9,24.9,14.9,2.4,3.6,2.2,1.8,2.887302080099348
E07000167,Ryedale,51751,23555,18476,7329,1846,545,45.5,35.7,14.2,3.6,1.1,2391,4.7,37581,26644,5773,12760,266,1381,1437,3168,1029,830,10937,7005,1282,1175,945,530,70.9,15.4,34.0,0.7,3.7,3.8,8.4,2.7,2.2,29.1,18.6,3.4,3.1,2.5,1.4,2.7380857348128043
E07000168,Scarborough,108793,45241,38721,17588,5712,1531,41.6,35.6,16.2,5.3,1.4,7243,6.699999999999999,79393,52245,12834,24346,397,2092,2107,4706,3371,2392,27148,16117,3141,2785,3708,1397,65.8,16.2,30.7,0.5,2.6,2.7,5.9,4.2,3.0,34.2,20.3,4.0,3.5,4.7,1.8,4.245966269066543
E07000169,Selby,83449,40351,28624,10654,3008,812,48.4,34.3,12.8,3.6,1.0,3820,4.6,61831,45720,9293,26298,285,1479,1468,3167,2154,1576,16111,9710,1883,2182,1586,750,73.9,15.0,42.5,0.5,2.4,2.4,5.1,3.5,2.5,26.1,15.7,3.0,3.5,2.6,1.2,3.483689411460271
E08000016,Barnsley,231221,96194,77649,37956,15278,4144,41.6,33.6,16.4,6.6,1.8,19422,8.4,170405,113306,24807,62841,515,2639,2863,7086,8738,3817,57099,28008,6225,7435,11925,3506,66.5,14.6,36.9,0.3,1.5,1.7,4.2,5.1,2.2,33.5,16.4,3.7,4.4,7.0,2.1,5.127783809160529
E08000017,Doncaster,302402,131738,102983,45748,16982,4951,43.6,34.1,15.1,5.6,1.6,21933,7.199999999999999,220877,147770,33112,80998,734,3305,3941,8216,12697,4767,73107,34110,8765,10746,12958,6528,66.9,15.0,36.7,0.3,1.5,1.8,3.7,5.7,2.2,33.1,15.4,4.0,4.9,5.9,3.0,5.74844823136859
